channel_id,channel_title,channel_uploads_id,channel_thumbnail,channel_facebook,channel_googleplus,channel_instagram,channel_snapchat,channel_soundcloud,channel_twitter,channel_website
UCOa4ng239g5dqsWYFLR9dmQ,Acoustic Singh,UUOa4ng239g5dqsWYFLR9dmQ,https://yt3.ggpht.com/-a9ow8qIssSY/AAAAAAAAAAI/AAAAAAAAAAA/H8cubNt7u_c/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC8rCzRwP8sw0TFBTJ2b2IIQ,Aksh Baghla,UU8rCzRwP8sw0TFBTJ2b2IIQ,https://yt3.ggpht.com/-p0bQZS4l68A/AAAAAAAAAAI/AAAAAAAAAAA/k6e8GLFgvOg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCY-Rb2-JgAgiR_qzsMRq3qA,Hanu Dixit,UUY-Rb2-JgAgiR_qzsMRq3qA,https://yt3.ggpht.com/-sSb32OerTyQ/AAAAAAAAAAI/AAAAAAAAAAA/N56n9krIS1Y/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCWNfGTMI1JHmvRbz15x6nEw,Karan Nawani,UUWNfGTMI1JHmvRbz15x6nEw,https://yt3.ggpht.com/-t_xkCbshM4g/AAAAAAAAAAI/AAAAAAAAAAA/1HQeyn-QBjA/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCWKl46taA6es6Rclohk8JCw,Nupur Pant,UUWKl46taA6es6Rclohk8JCw,https://yt3.ggpht.com/-8Kpqbcu8-Eo/AAAAAAAAAAI/AAAAAAAAAAA/S2bZ9pb48wY/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCwPpQ2OnOqvylIDZT-KmXUQ,Pallavi Mukund,UUwPpQ2OnOqvylIDZT-KmXUQ,https://yt3.ggpht.com/-WiVjUgUkn8A/AAAAAAAAAAI/AAAAAAAAAAA/XlBn8kIwrQ4/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCWzhsZ7UGj9glOxaKWibEYA,Raga The RnB,UUWzhsZ7UGj9glOxaKWibEYA,https://yt3.ggpht.com/-sShUI6yzRMI/AAAAAAAAAAI/AAAAAAAAAAA/jBBTWwOBz_c/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC8JB-8J7XUfYeIJKvEA1DkA,Raghav Chaitanya,UU8JB-8J7XUfYeIJKvEA1DkA,https://yt3.ggpht.com/-owA7fM6R_tE/AAAAAAAAAAI/AAAAAAAAAAA/hWFW2fXPftc/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCCEaCz6eZkPbxW-F7c6I3hA,Shreya Karmakar,UUCEaCz6eZkPbxW-F7c6I3hA,https://yt3.ggpht.com/-mDg6TQgw2Zs/AAAAAAAAAAI/AAAAAAAAAAA/ELMaIdLjivg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCHvU7UkPj1jHpHbuletJzVg,Vasuda Sharma,UUHvU7UkPj1jHpHbuletJzVg,https://yt3.ggpht.com/-hshWjjMSGuU/AAAAAAAAAAI/AAAAAAAAAAA/RdXX2xnLeMg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
